Repository,Merged,Closed,Open,ClosedDuration,MergedDuration,OpenDuration
actions/heroku,3,5,1,5101h57m43s,557h10m22.333333333s,36509h59m0.257899163s
actions/github,2,3,2,1867h49m49s,604h34m22s,40566h8m5.072274179s
actions/labeler,56,90,10,251h2m16.477777777s,108h6m28.125s,2674h27m35.731009067s
actions/toolkit,54,70,30,392h35m0.271428571s,123h13m51.166666666s,2432h45m26.047239003s
actions/runner,46,73,27,184h16m55.917808219s,106h2m27.804347826s,901h27m57.099370414s
actions/setup-node,46,86,14,439h58m24.279069767s,409h42m9.826086956s,3204h58m15.042939885s
actions/runner-images,82,96,4,31h17m55.635416666s,34h19m9.060975609s,338h1m13.059163542s
actions/setup-go,59,84,16,356h55m21.702380952s,186h44m35.983050847s,4164h51m58.04646664s
actions/setup-dotnet,58,91,9,274h6m32.626373626s,284h20m41.896551724s,3581h5m52.219571777s
actions/setup-python,51,81,19,533h0m47.185185185s,416h41m30.333333333s,3734h15m41.509378426s
actions/upload-artifact,53,81,19,1000h28m0s,596h9m45.471698113s,6425h16m57.849094291s
actions/download-artifact,52,91,9,685h5m37.824175824s,117h35m52.48076923s,4846h47m0.601569455s
actions/typescript-action,93,100,0,37h29m41.24s,29h17m16.462365591s,0s
actions/container-action,15,17,0,261h14m48s,292h45m32.733333333s,0s
actions/setup-ruby,24,39,8,660h48m56.435897435s,520h59m42.958333333s,32912h47m4.087267065s
actions/setup-java,65,83,17,453h4m46.518072289s,392h2m12.338461538s,5146h3m53.843721597s
actions/checkout,30,71,29,523h28m33.070422535s,342h59m42.5s,4292h17m34.119516053s
actions/starter-workflows,20,64,36,1173h12m43.3125s,292h22m14.05s,1802h42m49.66227576s
actions/container-toolkit-action,35,42,0,713h54m18.285714285s,831h4m34.057142857s,0s
actions/first-interaction,19,47,5,9012h34m52.510638297s,2564h25m31.47368421s,18168h51m4.752535605s
actions/hello-world-javascript-action,42,60,0,1861h46m31.983333333s,429h43m9.309523809s,0s
actions/stale,23,80,20,300h39m40.95s,176h26m24.04347826s,4478h34m26.051700766s
actions/hello-world-docker-action,11,19,0,1181h59m40.736842105s,232h13m13.909090909s,0s
actions/example-services,6,12,9,1715h15m16.25s,495h37m14.5s,28307h37m49.176991199s
actions/setup-elixir,21,28,0,437h43m15.607142857s,299h16m44.571428571s,0s
actions/github-script,71,93,7,409h14m18.956989247s,277h50m56.183098591s,5158h46m52.873415004s
actions/javascript-action,57,100,0,295h5m43.4s,245h41m42.649122807s,0s
actions/create-release,23,35,17,1431h0m17.857142857s,578h6m24.391304347s,32260h41m37.65887714s
actions/upload-release-asset,11,16,16,2091h50m16.875s,346h45m36.09090909s,32568h36m55.821900758s
actions/setup-haskell,16,21,6,1016h3m49.285714285s,494h0m49.0625s,29485h1m29.748231551s
actions/.github,5,14,6,293h46m6.857142857s,4h30m52.2s,10543h33m17.545332635s
actions/cache,55,71,29,247h44m43.267605633s,195h8m31.563636363s,4109h29m1.890962301s
actions/humans.txt,66,72,0,53h23m6.916666666s,56h27m42.166666666s,0s
actions/http-client,19,28,12,643h25m34.107142857s,174h51m43.947368421s,24436h16m7.055662143s
actions/virtual-environments-packages,3,3,0,137h56m46.666666666s,137h56m46.666666666s,0s
actions/actions-runner-controller,44,68,32,210h58m45.573529411s,166h59m58.159090909s,1208h9m7.286219616s
actions/delete-package-versions,63,91,9,877h38m26.912087912s,523h47m24.492063492s,4921h57m4.888749065s
actions/python-versions,90,97,3,86h18m37.268041237s,80h56m21.477777777s,3003h47m25.208837352s
actions/versions-package-tools,46,51,1,211h12m14.607843137s,71h48m49.456521739s,368h58m25.90873846s
actions/node-versions,95,100,0,187h34m37.65s,74h47m2.494736842s,0s
actions/boost-versions,10,10,0,45h10m6.3s,45h10m6.3s,0s
actions/go-versions,89,91,0,52h56m0.307692307s,54h6m24.651685393s,0s
actions/actions-sync,48,60,2,902h3m0.883333333s,255h31m17.375s,168h32m4.857440142s
actions/publish-action,22,35,1,901h15m39.2s,45h28m3.636363636s,3470h1m42.780079329s
actions/alpine_nodejs,3,3,2,1h0m28.333333333s,1h0m28.333333333s,736h10m41.544995035s
actions/deploy-pages,53,96,4,338h38m15.479166666s,295h12m8.981132075s,2940h41m5.126069159s
actions/jekyll-build-pages,64,87,0,434h28m39.126436781s,429h8m2.125s,0s
actions/add-to-project,48,89,11,155h18m37.561797752s,101h56m50.333333333s,2528h40m59.745761252s
actions/dependency-review-action,82,94,6,87h14m11.29787234s,50h43m55.621951219s,315h21m36.227264052s
actions/upload-pages-artifact,37,44,3,249h9m6.136363636s,168h49m6.297297297s,4148h24m33.739639538s
actions/runner-container-hooks,78,95,5,518h33m47.694736842s,311h19m5.102564102s,562h32m47.095167926s
actions/gh-actions-cache,34,39,5,154h23m1.769230769s,154h57m5.058823529s,4764h49m47.570313786s
actions/go-dependency-submission,36,39,0,55h27m44.948717948s,58h24m3.722222222s,0s
actions/configure-pages,67,93,7,499h14m56.473118279s,253h23m2.119402985s,2666h34m1.852591383s
actions/importer-labs,47,49,2,27h47m58.306122448s,27h14m46.787234042s,52h56m45.463045255s
actions/importer-issue-ops,22,27,1,321h32m57.333333333s,322h56m6.272727272s,238h23m42.951479394s
actions/reusable-workflows,7,7,2,526h0m14.714285714s,526h0m14.714285714s,2396h24m49.310015609s
actions/anno-test,0,0,0,0s,0s,0s
actions/languageservices,45,59,1,238h36m31.508474576s,205h16m44.533333333s,4403h42m4.002358886s
actions/partner-runner-images,1,1,0,21h22m26s,21h22m26s,0s
actions/create-github-app-token,65,70,2,50h3m28.2s,50h22m15.446153846s,952h15m15.533089702s
actions/action-versions,17,22,2,92h16m48.909090909s,8h22m44.470588235s,388h19m6.394549594s
actions/container-prebuilt-action,6,6,0,120h17m28s,120h17m28s,0s
